timestamp,length,protocol
1743686861.649243,91,DATA
1743686861.689762,88,DATA
1743686862.200795,91,DATA
1743686862.268424,87,DATA
1743686862.762522,500,TLS
1743686862.762587,54,TCP
1743686863.317582,79,DNS
1743686863.317731,79,DNS
1743686863.317809,79,DNS
1743686863.352132,261,DNS
1743686863.352825,249,DNS
1743686863.357966,293,DNS
1743686863.358732,86,TCP
1743686863.376564,86,TCP
1743686863.376644,74,TCP
1743686863.377305,1329,TLS
1743686863.377305,915,TLS
1743686863.399231,74,TCP
1743686863.404085,173,TLS
1743686863.404557,984,TLS
1743686863.424987,355,TLS
1743686863.425457,148,TLS
1743686863.425604,166,TLS
1743686863.425704,346,TLS
1743686863.446124,136,TLS
1743686863.446444,105,TLS
1743686863.451791,105,TLS
1743686863.451791,2584,TLS
1743686863.451834,74,TCP
1743686863.45274,6349,TCP
1743686863.452766,74,TCP
1743686863.452849,1329,TCP
1743686863.45287,74,TCP
1743686863.459543,1329,TCP
1743686863.459565,74,TCP
1743686863.464017,1329,TCP
1743686863.470067,1329,TCP
1743686863.470107,74,TCP
1743686863.476771,1329,TCP
1743686863.479155,1329,TCP
1743686863.479193,74,TCP
1743686863.479904,1329,TLS
1743686863.479904,1329,TCP
1743686863.479904,1329,TCP
1743686863.479904,1329,TCP
1743686863.479965,74,TCP
1743686863.480443,1329,TCP
1743686863.480443,2584,TCP
1743686863.480468,74,TCP
1743686863.481312,1329,TCP
1743686863.481335,74,TCP
1743686863.481485,1329,TCP
1743686863.48178,1329,TCP
1743686863.48181,74,TCP
1743686863.482096,1329,TCP
1743686863.482302,1329,TCP
1743686863.482325,74,TCP
1743686863.487974,2584,TLS
1743686863.488016,74,TCP
1743686863.488594,3839,TCP
1743686863.488614,74,TCP
1743686863.494093,3839,TCP
1743686863.494141,74,TCP
1743686863.494751,1329,TCP
1743686863.499993,1329,TCP
1743686863.500022,74,TCP
1743686863.500096,1329,TCP
1743686863.507773,5094,TLS
1743686863.507859,74,TCP
1743686863.508567,1329,TCP
1743686863.508567,1092,TLS
1743686863.508613,74,TCP
1743686864.209012,164,TCP
1743686864.254598,164,TCP
1743686864.303676,54,TCP
1743686864.90542,91,DATA
1743686864.987699,86,TCP
1743686865.109659,91,DATA
1743686865.253835,86,TCP
1743686865.301831,66,TCP
1743686865.507555,91,DATA
1743686865.555914,66,TCP
1743686865.699122,1292,DATA
1743686865.994157,86,TCP
1743686866.010498,1292,DATA
1743686866.261064,86,TCP
1743686866.293139,91,DATA
1743686866.308947,66,TCP
1743686866.325072,1292,DATA
1743686866.561724,66,TCP
1743686866.645878,91,DATA
1743686868.002774,86,TCP
1743686868.206214,91,DATA
1743686868.270084,86,TCP
1743686868.31804,66,TCP
1743686868.571968,66,TCP
1743686868.683505,91,DATA
1743686868.777938,91,DATA
1743686868.950607,91,DATA
1743686869.036555,1292,DATA
1743686869.267173,164,TCP
1743686869.298012,91,DATA
1743686869.346019,1292,DATA
1743686869.615346,164,TCP
1743686869.647397,1292,DATA
1743686869.896934,91,DATA
1743686869.960964,91,DATA
1743686869.976905,164,TCP
1743686869.977159,91,DATA
1743686870.137133,91,DATA
1743686870.201381,1292,DATA
1743686870.313636,66,TCP
1743686870.437343,91,DATA
1743686870.516704,1292,DATA
1743686870.580695,164,TCP
1743686870.660376,91,DATA
1743686870.676548,86,ICMPV6
1743686870.819868,1292,DATA
1743686871.04111,91,DATA
1743686871.120144,91,DATA
1743686871.182018,42,ARP
